a_id;x_accel;y_accel;z_accel;timestamp
1;470;616;692;1466935999.8904626
1;104;122;568;1466935999.9108653
1;104;384;458;1466935999.9313414
1;415;538;624;1466935999.951742
1;619;526;624;1466935999.9721725
1;902;646;460;1466935999.9924076
1;920;660;356;1466936000.0130072
1;676;702;520;1466936000.0337927
1;104;236;686;1466936000.0543633
1;105;388;612;1466936000.0744936
1;434;502;614;1466936000.0945282
1;656;544;558;1466936000.114706
1;816;600;458;1466936000.1349034
1;920;610;344;1466936000.1552389
1;920;786;406;1466936000.1755705
1;516;908;676;1466936000.195816
1;104;166;754;1466936000.216313
1;104;244;436;1466936000.2368364
1;316;532;632;1466936000.2575088
1;513;512;552;1466936000.2782261
1;720;552;374;1466936000.2985654
1;918;556;356;1466936000.319332
1;904;692;530;1466936000.339549
1;418;664;754;1466936000.3598902
1;104;106;620;1466936000.3801672
1;166;476;462;1466936000.4004533
1;463;476;612;1466936000.420694
1;597;492;432;1466936000.4411764
1;622;498;422;1466936000.4618702
1;918;588;410;1466936000.4825299
1;920;680;516;1466936000.5032628
1;495;658;638;1466936000.523675
1;104;212;640;1466936000.544226
1;104;368;582;1466936000.5644665
1;431;456;608;1466936000.5846775
1;531;496;494;1466936000.605012
1;694;572;356;1466936000.6251287
1;906;630;378;1466936000.6454854
1;920;706;402;1466936000.665875
1;849;804;516;1466936000.6862113
1;264;752;694;1466936000.7064657
1;104;104;642;1466936000.7266653
1;133;452;562;1466936000.7472575
1;431;448;620;1466936000.7674856
1;605;492;390;1466936000.788187
1;766;522;410;1466936000.8087993
1;920;616;390;1466936000.8290737
1;826;688;558;1466936000.8494337
1;108;366;666;1466936000.8697479
1;104;196;550;1466936000.8900645
1;305;448;586;1466936000.9104528
1;486;462;556;1466936000.9307473
1;669;532;446;1466936000.951209
1;911;564;424;1466936000.9717686
1;920;664;398;1466936000.9921482
1;639;706;602;1466936001.0128098
1;105;328;706;1466936001.033332
1;104;190;476;1466936001.053847
1;359;478;610;1466936001.0742912
1;498;486;568;1466936001.094466
1;703;570;456;1466936001.11458
1;919;580;432;1466936001.1348875
1;920;672;410;1466936001.1552036
1;525;664;624;1466936001.1755152
1;104;230;666;1466936001.195931
1;104;256;526;1466936001.2164516
1;316;474;650;1466936001.2367065
1;554;508;602;1466936001.257322
1;762;584;480;1466936001.2779675
1;920;600;372;1466936001.2984176
1;920;712;382;1466936001.3190014
1;467;714;678;1466936001.3393898
1;104;122;592;1466936001.3595033
1;111;428;534;1466936001.3796997
1;423;478;622;1466936001.4000602
1;563;488;558;1466936001.420454
1;777;558;416;1466936001.4409065
1;920;616;350;1466936001.4610653
1;911;714;448;1466936001.481607
1;299;590;738;1466936001.5020318
1;104;120;620;1466936001.5225275
1;125;440;564;1466936001.543008
1;438;480;616;1466936001.5633788
1;570;498;544;1466936001.5844038
1;852;586;384;1466936001.6046088
1;920;662;324;1466936001.6247845
1;855;754;468;1466936001.6451013
1;266;614;744;1466936001.6657522
1;104;106;604;1466936001.6860094
1;104;428;522;1466936001.7065122
1;370;516;656;1466936001.7271202
1;588;516;586;1466936001.747817
1;810;572;430;1466936001.7685666
1;920;634;348;1466936001.7894447
1;796;724;496;1466936001.8095906
1;152;462;748;1466936001.8297944
1;104;132;580;1466936001.8501549
1;205;448;596;1466936001.8702712
1;467;468;588;1466936001.8906345
1;605;490;544;1466936001.910949
1;809;594;434;1466936001.931477
1;920;622;386;1466936001.952039
1;801;640;436;1466936001.9723551
1;273;458;640;1466936001.992741
1;104;192;612;1466936002.0135202
1;255;400;658;1466936002.0344846
1;595;492;528;1466936002.0546293
1;788;576;452;1466936002.0749795
1;920;622;384;1466936002.0953584
1;920;748;402;1466936002.1157897
1;426;822;682;1466936002.1362767
1;104;192;736;1466936002.1568267
1;104;220;462;1466936002.177355
1;340;490;618;1466936002.19801
1;521;490;554;1466936002.2187245
1;672;530;422;1466936002.2404041
1;919;580;396;1466936002.2608242
1;800;616;472;1466936002.281325
1;240;410;668;1466936002.3019044
1;104;180;560;1466936002.322554
1;237;430;586;1466936002.3430998
1;431;454;568;1466936002.3636918
1;535;490;530;1466936002.384372
1;726;608;442;1466936002.404577
1;900;588;428;1466936002.4246976
1;788;578;456;1466936002.4448457
1;459;466;520;1466936002.465174
1;377;366;568;1466936002.485596
1;433;344;568;1466936002.5060413
1;558;412;444;1466936002.5267627
1;818;490;374;1466936002.5473926
1;919;634;400;1466936002.5681193
1;605;816;642;1466936002.5890558
1;104;410;810;1466936002.609455
1;104;140;470;1466936002.6296206
1;403;472;536;1466936002.6496713
1;551;488;570;1466936002.669887
1;723;502;472;1466936002.6901448
1;784;542;486;1466936002.7105079
1;548;516;602;1466936002.7308521
1;105;224;590;1466936002.7511928
1;104;318;426;1466936002.7717247
1;359;488;536;1466936002.792359
1;513;514;550;1466936002.8128746
1;644;564;552;1466936002.8331366
1;914;642;416;1466936002.8536735
1;920;654;414;1466936002.873979
1;688;676;510;1466936002.8944743
1;106;330;720;1466936002.9145968
1;104;196;534;1466936002.934803
1;281;462;586;1466936002.9551103
1;567;526;576;1466936002.975482
1;673;544;554;1466936002.9959373
1;914;592;364;1466936003.016284
1;850;654;410;1466936003.0365999
1;515;712;676;1466936003.0572243
1;104;274;820;1466936003.077847
1;104;192;488;1466936003.098426
1;353;490;560;1466936003.1191185
1;560;504;548;1466936003.1394565
1;757;530;470;1466936003.159569
1;918;572;380;1466936003.1796916
1;880;644;406;1466936003.1998816
